韻	字	簡化字	推導音	校正音	罕用標記	註
au	翲		piau1			
au	臊		sau1			
au	藃		xau1			
au	螵		piau1			
au	蟂		jau1			
au	謟		tau1			
au	鍫		ciau1			
au	鍬	锹	ciau1			
au	髾		shau1			
au	鮫	鲛	jau1			
au	鵁		jau1			
au	鵃		zhau1			
au	㹗		tau1			
au	䆁		gau1			
au	䜈		chau1			
au	䫜		yau1			
au	䯾		diau1			
au	䴛		siau1			
au	瀌		biau1			
au	皽		zhau1			
au	礉		qau1			
au	簥		jau1			
au	繑		qau1			
au	藨		pau1			
au	藨		biau1			
au	蟭		ziau1			
au	蟯	蛲	yau1			
au	轇		jau1			
au	醩		zau1			
au	颾		sau1			
au	餻		gau1			
au	鮹		shau1			
au	鮹		siau1			
au	㶀		jau1			
au	䫞		qau1			
au	䫞		xau1			
au	䬘		xau1			
au	櫜		gau1			
au	瀟	潇	siau1			
au	爂		piau1			
au	犥		piau1			
au	簫	箫	siau1			
au	繰	缲	sau1			
au	臕	膘	biau1			
au	蟰		siau1			
au	贆		biau1			
au	趫		qau1			
au	趬		qau1			
au	蹺	跷	qau1			
au	蹻		qau1			
au	醮		ziau1			
au	鏖		au1			
au	鏢	镖	piau1			
au	韜	韬	tau1			
au	騷	骚	sau1			
au	髇		xau1			
au	鯛	鲷	diau1			
au	鵰	雕	diau1			
au	䳩		yau1			
au	鐎		ziau1			
au	飄	飘	piau1			
au	鰠		sau1			
au	齙	龅	bau1			
au	䥝		au1			
au	䰫		chau1			
au	嚻		xau1			
au	囂	嚣	xau1			
au	鐰		ciau1			
au	鞽		qau1			
au	顤		xau1			
au	飊		biau1			
au	鼛		gau1			
au	䉰		jau1			
au	䌭		ziau1			
au	蠨		siau1			
au	饕		tau1			
au	驍	骁	jau1			
au	驕	骄	jau1			
au	毊		xau1			
au	鑣	镳	biau1			
au	鷦	鹪	ziau1			
au	鷮		jau1			
au	鷱		gau1			
au	㺧		xau1			
au	虈		xau1			
au	鱢		sau1			
au	驫		biau1			
au	𠅬		bau1			
au	𠋺		sau1			
au	𠌪		tau1			
au	𠐋		pau1			
au	𠚜		tau1			
au	𠚥		diau1			
au	𠣑		yau1			
au	𠦂		tau1			
au	𠦎		tau1			
au	𠬢		tau1			
au	𠰉		chau1			
au	𠿈		zhau1			
au	𡡏		shau1			
au	𡧮		yau1			
au	𡩇		qau1			
au	𡼗		gau1			
au	𢁾		chau1			
au	𢆷		yau1			
au	𢻥		cau1			
au	𢿏		pau1			
au	𢿣		qau1			
au	𣂁		ciau1			
au	𣂁		tiau1			
au	𣄠		biau1			
au	𣐾		hau1			
au	𣓌		gau1			
au	𣖄		ciau1			
au	𣟼		ciau1			
au	𣩒		zau1			
au	𤏶		au1			
au	𤓪		ziau1			
au	𤘸		tau1			
au	𤞚		siau1			
au	𤬖		shau1			
au	𥃩		yau1			
au	𥄉		jau1			
au	𥹜		jau1			
au	𦐺		siau1			
au	𦔩		biau1			
au	𦔷		yau1			
au	𦗔		zhau1			
au	𦟞		xau1			
au	𦠎		biau1			
au	𦠎		piau1			
au	𦨣		diau1			
au	𦩻		zhau1			
au	𦫶		pau1			
au	𦵩		zau1			
au	𦶌		diau1			
au	𦾱		chau1			
au	𧍔		yau1			
au	𧘨		diau1			
au	𧜣		diau1			
au	𧢌		gau1			
au	𧯌		hau1			
au	𧽤		biau1			
au	𧽤		piau1			
au	𨄏		piau1			
au	𨓳		yau1			
au	𨚔		bau1			
au	𨚔		pau1			
au	𨝲		gau1			
au	𩎔		jau1			
au	𩑗		yau1			
au	𩕯		dau1			
au	𩙒		piau1			
au	𩙚		siau1			
au	𩥓		tau1			
au	𩱴		xau1			
au	𩽁		biau1			
au	𩾗		diau1			
au	𩾗		ziau1			
au	𩾾		xau1			
au	𪅃		piau1			
au	𪚰		ziau1			
au	𪚱		ziau1			
au	毛		mau2			
au	爻		xau2			
au	芀		tiau2			
au	尥		pau2			
au	㠺		miau2			
au	㤊		xau2			
au	佋		chau2			
au	芼		mau2			
au	牢		lau2			
au	佻		tiau2			
au	匋	陶	tau2			
au	呶		nau2			
au	咆		pau2			
au	岧		tiau2			
au	庖		pau2			
au	怓		nau2			
au	枆		mau2			
au	泡		pau2			
au	狍		pau2			
au	肴		xau2			
au	苕		tiau2			
au	苗		miau2			
au	茅		mau2			
au	迢		tiau2			
au	㸛		chau2			
au	䂚		xau2			
au	咷	啕	tau2			
au	垚		yau2			
au	姚		yau2			
au	姣		xau2			
au	恌		yau2			
au	柖		chau2			
au	洨		xau2			
au	洮		yau2			
au	炮		pau2			
au	炰	炮	pau2			
au	玿		chau2			
au	窂		lau2			
au	荍		qau2			
au	訄		nau2			
au	逃		tau2			
au	㟉		lau2			
au	䋂		xau2			
au	䖢		miau2			
au	倄		xau2			
au	哰		lau2			
au	峱		nau2			
au	捊		pau2			
au	敖		au2			
au	旄		mau2			
au	晁		chau2			
au	桃		tau2			
au	條	条	tiau2			
au	烑		yau2			
au	珧		yau2			
au	瓟		pau2			
au	窌		lau2			
au	笅		xau2			
au	罞		mau2			
au	胶		xau2			
au	袍		pau2			
au	陶		tau2			
au	陶		yau2			
au	料		liau2			
au	䄻		chau2			
au	匏		pau2			
au	啕		tau2			
au	媌		mau2			
au	崤		hau2			
au	崤		xau2			
au	巢		chau2			
au	掊		pau2			
au	掏		tau2			
au	描		mau2			
au	描		miau2			
au	曹		cau2			
au	毫		hau2			
au	淆		xau2			
au	淘		tau2			
au	淲		piau2			
au	猇		xau2			
au	猫		miau2			
au	硇		nau2			
au	笤		tiau2			
au	翏		liau2			
au	聊		liau2			
au	菬		ciau2			
au	萄		tau2			
au	袌		pau2			
au	酕		mau2			
au	㫍		yau2			
au	㮁		xau2			
au	䛌		tau2			
au	傜		yau2			
au	喬	乔	qau2			
au	堥		mau2			
au	堯	尧	yau2			
au	朝		chau2			
au	殽	肴	xau2			
au	猱		nau2			
au	筊		xau2			
au	跑		pau2			
au	軳		pau2			
au	軺	轺	chau2			
au	軺	轺	yau2			
au	勞	劳	lau2			
au	剽		piau2			
au	勦	剿	chau2			
au	嗂		yau2			
au	嗥		hau2			
au	嗷		au2			
au	嗸		au2			
au	媱		yau2			
au	嫯		au2			
au	嶅		au2			
au	廒		au2			
au	徭		yau2			
au	愮		yau2			
au	搖	摇	yau2			
au	摇		yau2			
