韻	字	簡化字	推導音	校正音	罕用標記	註
a	䁍		qa1			
a	䈉		sha1			
a	䈋		ta1			
a	䍝		ta1			
a	䓙		kua1			
a	䓠		da1			
a	䓠		ta1			
a	䓭		cha1			
a	劀		gua1			
a	劄	札	zha1			
a	嘁		za1			
a	嘉		ja1			
a	嘎		ja1			
a	察		chua1			
a	摺		la1			
a	摺		za1			
a	撾	挝	zhua1			
a	榝		sha1			
a	榻		ta1			
a	毾		ta1			
a	漯		ta1			
a	瘌		la1			
a	瘕		ja1			
a	碴		zha1			
a	稭		ja1			
a	窪	洼	wa1			
a	窫		ya1			
a	箑		sha1			
a	緺		gua1			
a	翣		sha1			
a	蝸	蜗	gua1			
a	褡		da1			
a	辢		la1			
a	辣		la1			
a	靼		da1			
a	鞂		ja1			
a	颯	飒	sa1			
a	颰		fa1			
a	餄		ja1			
a	㒓		ta1			
a	㩉		da1			
a	㩉		la1			
a	㪥		zha1			
a	䐒		zha1			
a	䓶		la1			
a	䙄		zha1			
a	噆		za1			
a	噧		ta1			
a	嫼		ya1			
a	撒		sa1			
a	撘		da1			
a	撻	挞	ta1			
a	擖		zha1			
a	擖		ja1			
a	擖		qa1			
a	樝		zha1			
a	檛		zhua1			
a	澾		ta1			
a	瞎		xa1			
a	磍		ja1			
a	磍		qa1			
a	膼		zhua1			
a	艖		cha1			
a	蝲		la1			
a	觰		zha1			
a	踏		ta1			
a	霅		sa1			
a	霅		zha1			
a	鞈		ja1			
a	韐		ja1			
a	頡	颉	ja1			
a	髮	发	fa1			
a	魦		sha1			
a	魳		za1			
a	魶		na1			
a	鴉	鸦	ya1			
a	㔍		chua1			
a	㪪		sa1			
a	㯓		ta1			
a	㯚		da1			
a	䐤		cha1			
a	䛽		zha1			
a	䝟		ya1			
a	䩡		ja1			
a	䫄		chua1			
a	䬊		sha1			
a	䴥		ja1			
a	䵣		da1			
a	嚃		ta1			
a	疀		cha1			
a	皻		zha1			
a	磖		la1			
a	臈		la1			
a	薩	萨	sa1			
a	豭		ja1			
a	貑		ja1			
a	錏		ya1			
a	錔		ta1			
a	錣		zhua1			
a	霎		sha1			
a	魼		ta1			
a	鴐		ja1			
a	鴨	鸭	ya1			
a	㒝		wa1			
a	䟃		ca1			
a	䦪		ya1			
a	壓	压	ya1			
a	擦		ca1			
a	攃		ca1			
a	攃		sa1			
a	濌		ta1			
a	濕	湿	ta1			
a	簻		zhua1			
a	譁	哗	hua1			
a	鍤	锸	cha1			
a	鎈		cha1			
a	鞜		ta1			
a	髽		zhua1			
a	髿		sha1			
a	鴰	鸹	gua1			
a	鴶		ja1			
a	㩢		ma1			
a	䉈		sa1			
a	䍼		za1			
a	䯞		kua1			
a	䵽		ca1			
a	擸		la1			
a	檫		chua1			
a	竵		hua1			
a	蟼		ja1			
a	譀		xa1			
a	邋		la1			
a	鎩	铩	sha1			
a	鞢		zha1			
a	鞳		ta1			
a	騧		gua1			
a	鯊	鲨	sha1			
a	鵊		ja1			
a	㿓		ja1			
a	䗶		la1			
a	䪚		da1			
a	䵬		ta1			
a	䶀		ta1			
a	攋		la1			
a	獺	獭	cha1			
a	獺	獭	ta1			
a	礣		ma1			
a	礤		ca1			
a	襪	袜	wa1			
a	躂		ta1			
a	鵶		ya1			
a	鵽		zhua1			
a	鼃		wa1			
a	䕓		chua1			
a	䦱		kua1			
a	䶎		xa1			
a	糲	粝	la1			
a	闥	闼	ta1			
a	鰈	鲽	ta1			
a	麚		ja1			
a	䌨		ca1			
a	䶗		qa1			
a	䶘		la1			
a	囃		ca1			
a	灋		fa1			
a	韃	鞑	ta1			
a	鰨	鳎	ta1			
a	鷨		hua1			
a	癩	癞	la1			
a	臘	腊	la1			
a	蠟	蜡	la1			
a	䶛		la1			
a	鬝		qa1			
a	齂		ma1			
a	轢	轹	la1			
a	躠		sa1			
a	鑞		la1			
a	韈		wa1			
a	韤		wa1			
a	鱊		gua1			
a	齄		zha1			
a	䯦		ma1			
a	䵵		chua1			
a	䶢		ja1			
a	䶢		qa1			
a	齇		zha1			
a	䲚		ta1			
a	䶥		zha1			
a	齾		ya1			
a	𠇗		kua1			
a	𠍹		zha1			
a	𠎷		sa1			
a	𠕣		qa1			
a	𠗨		zha1			
a	𠛉		qa1			
a	𠜲		ya1			
a	𠜵		ja1			
a	𠞈		da1			
a	𠞊		cha1			
a	𠟽		gua1			
a	𠦄		sa1			
a	𠩘		ja1			
a	𠯗		za1			
a	𠱡		sa1			
a	𠴺		ya1			
a	𠿓		sa1			
a	𠿡		zhua1			
a	𡁑		hua1			
a	𡇼		ya1			
a	𡖹		cha1			
a	𡤙		na1			
a	𡤫		qa1			
a	𡿖		ya1			
a	𢂷		ja1			
a	𢂿		qa1			
a	𢃕		ta1			
a	𢃴		la1			
a	𢈠		la1			
a	𢕬		sa1			
a	𢛁		da1			
a	𢧖		zha1			
a	𢴄		da1			
a	𢶍		sa1			
a	𢼣		qa1			
a	𣁳		wa1			
a	𣁴		qa1			
a	𣘟		qa1			
a	𣘤		chua1			
a	𣢗		xa1			
a	𣤊		la1			
a	𣤶		za1			
