韻	字	簡化字	推導音	校正音	罕用標記	註
an	僋		tan1			
an	剸		zhuan1			
an	塤	埙	xuan1			
an	尲		jan1			
an	愆		qan1			
an	戡		kan1			
an	搬		ban1			
an	斒		ban1			
an	暄		xuan1			
an	滇		dian1			
an	煊		xuan1			
an	煎		zian1			
an	煓		tuan1			
an	煖	暖	xuan1			
an	煙	烟	yan1			
an	牑		bian1			
an	犏		pian1			
an	瑄		siuan1			
an	瑊		jan1			
an	甂		bian1			
an	甄		jan1			
an	綅		sian1			
an	羥	羟	qan1			
an	腤		an1			
an	蒬		yuan1			
an	蒹		jan1			
an	蓒		xan1			
an	蜎		yuan1			
an	裧		chan1			
an	裷		yuan1			
an	詮	诠	ciuan1			
an	詹		zhan1			
an	詽		tian1			
an	豣		jan1			
an	貆		xuan1			
an	貆		huan1			
an	跧		zhuan1			
an	輇	辁	ciuan1			
an	鄟		zhuan1			
an	鄢		yan1			
an	頒	颁	ban1			
an	馯		qan1			
an	㜗		can1			
an	㺑		shan1			
an	㾫		pian1			
an	䁔		xuan1			
an	䅧		yan1			
an	䝜		suan1			
an	䩇		zhan1			
an	僊	仙	sian1			
an	勬		juan1			
an	匰		dan1			
an	嘆	叹	tan1			
an	嘕		xan1			
an	嫣		xan1			
an	嫣		yan1			
an	嫥		zhuan1			
an	寬	宽	kuan1			
an	慳	悭	qan1			
an	摶	抟	zhuan1			
an	摻	掺	shan1			
an	撖		kan1			
an	槙		dian1			
an	漧		gan1			
an	漸	渐	zian1			
an	煽		shan1			
an	監	监	jan1			
an	端		duan1			
an	箋	笺	zian1			
an	綸	纶	guan1			
an	緂		chan1			
an	緂		tan1			
an	蔘		san1			
an	蔫		yan1			
an	蜬		gan1			
an	蜿		yuan1			
an	蜿		wan1			
an	褍		duan1			
an	谽		han1			
an	鄲	郸	dan1			
an	酸		suan1			
an	銓	铨	ciuan1			
an	銛		sian1			
an	関		guan1			
an	頕		dan1			
an	鳱		gan1			
an	㠆		dan1			
an	㢖		pan1			
an	㩊		siuan1			
an	㵅		tan1			
an	㽐		xan1			
an	㾾		xan1			
an	䡝		yuan1			
an	䣍		yan1			
an	儇		xuan1			
an	儋		dan1			
an	厱		qan1			
an	嘽		tan1			
an	幡		fan1			
an	憨		han1			
an	撍		zan1			
an	撢	掸	tan1			
an	暹		sian1			
an	槧	椠	cian1			
an	毿	毵	san1			
an	潘		pan1			
an	潫		yuan1			
an	潫		wan1			
an	潸		shan1			
an	犙		san1			
an	瑼		zhuan1			
an	甎		zhuan1			
an	瘨		dian1			
an	箯		bian1			
an	篇		pian1			
an	緘	缄	jan1			
an	編	编	bian1			
an	翧		xuan1			
an	翩		pian1			
an	膞		zhuan1			
an	蕃		fan1			
an	蕑		jan1			
an	蝖		xuan1			
an	蝙		bian1			
an	諐		qan1			
an	豌		wan1			
an	遷	迁	cian1			
an	醃	腌	yan1			
an	鋑		ziuan1			
an	鋑		cuan1			
an	鋗		xuan1			
an	鋟	锓	zian1			
an	鞌		an1			
an	鞍		an1			
an	頨		xuan1			
