韻	調	字	簡化字	推導音	校正音	罕用標記	註
an	3	馻	馻	yuan3			
an	3	馾	馾	dan4			
an	3	髧	髧	dan4			
an	3	漣	涟	lian4			
an	3	蓮	莲	lian3			
an	3	㔊	㔊	zhan3			
an	3	㜣	㜣	shan3			
an	3	㜣	㜣	nian4			
an	3	㜤	㜤	nian3			
an	3	㞟	㞟	dian4			
an	3	㣅	㣅	zan4			
an	3	㦓	㦓	xan4			
an	3	㯠	㯠	qan4			
an	3	㹌	㹌	shan3			
an	3	㺕	㺕	bian4			
an	3	㺖	㺖	chan4			
an	3	㺖	㺖	han4			
an	3	㺖	㺖	xan3			
an	3	㾺	㾺	chan4			
an	3	㾺	㾺	man4			
an	3	䁙	䁙	yan4			
an	3	䈒	䈒	nan3			
an	3	䈠	䈠	huan4			
an	3	䓴	䓴	rhuan3			
an	3	䛳	䛳	yan4			
an	3	䠄	䠄	tian3			
an	3	䢭	䢭	sian4			
an	3	䢭	䢭	yan4			
an	3	䣍	䣍	yan3			
an	3	䨘	䨘	sian4			
an	3	䬼	䬼	yuan4			
an	3	䰼	䰼	zan4			
an	3	䴼	䴼	chan4			
an	3	儉	俭	jan4			
an	3	劍	剑	jan4			
an	3	厱	厱	qan3			
an	3	嘽	嘽	chan3			
an	3	嘾	嘾	dan4			
an	3	噆	噆	can3			
an	3	墠	墠	shan4			
an	3	墡	墡	shan4			
an	3	嫸	嫸	zhan3			
an	3	嶘	嶘	shan4			
an	3	幝	幝	chan3			
an	3	彈	弹	dan4			
an	3	憚	惮	dan4			
an	3	憛	憛	tan4			
an	3	憨	憨	han4			
an	3	憪	憪	xan4			
an	3	憯	憯	can3			
an	3	憯	憯	cian3			
an	3	戭	戭	yan3			
an	3	撍	撍	zan3			
an	3	撍	撍	zan4			
an	3	撢	掸	tan4			
an	3	撣	掸	dan4			
an	3	撰	撰	shuan4			
an	3	暫	暂	zan4			
an	3	暵	暵	han3			
an	3	暵	暵	han4			
an	3	槧	椠	zan4			
an	3	槧	椠	cian4			
an	3	槧	椠	zian4			
an	3	槮	槮	san3			
an	3	槵	槵	huan4			
an	3	樌	樌	guan4			
an	3	橄	橄	gan3			
an	3	歎	叹	tan4			
an	3	潛	潜	zian4			
an	3	潬	潬	dan4			
an	3	潸	潸	shan3			
an	3	澗	涧	jan4			
an	3	熯	熯	han3			
an	3	熯	熯	han4			
an	3	熯	熯	rhan3			
an	3	熳	熳	man4			
an	3	瞑	瞑	mian4			
an	3	碾	碾	nian3			
an	3	碾	碾	nian4			
an	3	稴	稴	lian3			
an	3	稴	稴	lian4			
an	3	窴	窴	dian4			
an	3	箭	箭	zian4			
an	3	箲	箲	sian3			
an	3	範	范	fan4			
an	3	篆	篆	zhuan4			
an	3	糂	糂	san3			
an	3	糄	糄	bian3			
an	3	線	线	sian4			
an	3	緛	緛	rhuan3			
an	3	緞	缎	duan4			
an	3	緣	缘	yuan4			
an	3	編	编	bian3			
an	3	緩	缓	huan4			
an	3	緬	缅	mian3			
an	3	緶	缏	bian3			
an	3	縁	縁	yuan4			
an	3	翦	翦	zian3			
an	3	翫	翫	wan4			
an	3	膞	膞	shuan4			
an	3	膞	膞	zhuan3			
an	3	艑	艑	bian4			
an	3	蕆	蒇	chan3			
an	3	蕇	蕇	dian3			
an	3	蝘	蝘	yan3			
an	3	蝡	蝡	rhuan3			
an	3	覢	覢	shan3			
an	3	諂	谄	chan3			
an	3	諓	諓	zian4			
an	3	諓	諓	ziuan4			
an	3	賛	賛	zan4			
an	3	賟	賟	tian3			
an	3	賤	贱	zian4			
an	3	賧	赕	tan4			
an	3	趝	趝	jan4			
an	3	踐	践	ziuan4			
an	3	踠	踠	yuan3			
an	3	踺	踺	jan4			
an	3	輚	輚	shan4			
an	3	輚	輚	zhan4			
an	3	輡	輡	kan3			
an	3	輤	輤	cian4			
an	3	輨	輨	guan3			
an	3	選	选	siuan3			
an	3	選	选	siuan4			
an	3	醂	醂	lan3			
an	3	醆	盏	zhan3			
an	3	險	险	xan3			
an	3	韏	韏	juan3			
an	3	韏	韏	juan4			
an	3	韏	韏	quan4			
an	3	頜	颌	han4			
an	3	髯	髯	rhan4			
an	3	魬	魬	ban4			
an	3	鴈	雁	yan4			
an	3	麪	麪	mian4			
an	3	麫	麫	mian4			
an	3	撚	捻	nian3			
an	3	璉	琏	lian3			
an	3	練	练	lian4			
an	3	輦	辇	lian3			
an	3	㔋	㔋	lan4			
an	3	㔋	㔋	jan4			
an	3	㔋	㔋	xan4			
an	3	㙴	㙴	chan4			
an	3	㬗	㬗	nian4			
an	3	㯞	㯞	juan4			
an	3	㷳	㷳	an4			
an	3	㽩	㽩	can4			
an	3	㿸	㿸	wan3			
an	3	㿸	㿸	wan4			
an	3	䆱	䆱	tan4			
an	3	䚈	䚈	juan4			
an	3	䛹	䛹	cian4			
an	3	䞁	䞁	yan3			
an	3	䞁	䞁	yan4			
an	3	䞂	䞂	rhuan3			
an	3	䩥	䩥	dan4			
an	3	䫅	䫅	san4			
an	3	䬇	䬇	yuan4			
an	3	䯘	䯘	huan4			
an	3	儑	儑	an4			
an	3	劔	劔	jan4			
an	3	匴	匴	suan3			
an	3	噞	噞	yan3			
an	3	噞	噞	yan4			
an	3	噮	噮	yuan4			
an	3	壂	壂	dian4			
an	3	壈	壈	lan3			
an	3	嬐	嬐	yan3			
an	3	嬔	嬔	fan4			
an	3	嬗	嬗	dan3			
an	3	嬗	嬗	shan4			
an	3	嬚	嬚	lian3			
an	3	寰	寰	xuan4			
an	3	嶮	嶮	xan3			
an	3	嶮	嶮	yan3			
an	3	幨	幨	chan4			
an	3	憲	宪	xan4			
an	3	憸	憸	cian3			
an	3	憸	憸	xan3			
an	3	憺	憺	dan4			
an	3	憾	憾	han4			
an	3	懁	懁	juan4			
an	3	戰	战	zhan4			
an	3	撼	撼	han4			
an	3	撿	捡	lian3			
an	3	擀	擀	gan3			
an	3	擅	擅	shan4			
an	3	擐	擐	huan4			
an	3	擔	担	dan4			
an	3	樿	樿	zhan3			
an	3	橌	橌	xan4			
an	3	橎	橎	fan3			
an	3	橏	橏	zhan3			
an	3	橝	橝	dian4			
an	3	橪	橪	rhan3			
an	3	殩	殩	cuan4			
an	3	毈	毈	duan4			
an	3	澣	澣	huan4			
an	3	澰	澰	lian3			
an	3	澱	淀	dian4			
an	3	澶	澶	dan4			
an	3	澹	澹	dan4			
an	3	燀	燀	chan3			
an	3	燀	燀	zhan3			
an	3	燄	焰	yan3			
an	3	燕	燕	yan4			
an	3	獧	獧	juan4			
an	3	獫	猃	lian3			
an	3	獫	猃	lian4			
an	3	獫	猃	xan3			
an	3	盥	盥	guan3			
an	3	盥	盥	guan4			
an	3	瞰	瞰	kan4			
an	3	磡	磡	kan4			
an	3	禪	禅	shan4			
an	3	禫	禫	dan4			
an	3	竱	竱	zhuan3			
an	3	篟	篟	cian4			
an	3	篡	篡	chuan4			
an	3	篹	篹	suan3			
an	3	縓	縓	ciuan4			
an	3	縣	县	xuan4			
an	3	翰	翰	han4			
an	3	膦	膦	lian3			
an	3	膳	膳	shan4			
an	3	臇	臇	ziuan3			
an	3	舘	舘	guan4			
an	3	薍	薍	wan4			
an	3	薒	薒	can4			
an	3	薟	莶	lian3			
an	3	薦	荐	zian4			
an	3	虥	虥	shan4			
an	3	虥	虥	zhan4			
an	3	螒	螒	han4			
an	3	諞	谝	bian4			
an	3	諫	谏	jan4			
an	3	諯	諯	ciuan4			
an	3	諯	諯	chuan4			
an	3	諵	諵	nan4			
an	3	諺	谚	yan4			
an	3	諼	谖	xuan3			
an	3	貒	貒	tuan4			
an	3	踹	踹	duan4			
an	3	踹	踹	shuan4			
an	3	躽	躽	yan3			
an	3	躽	躽	yan4			
an	3	輭	輭	rhuan3			
an	3	辦	办	ban4			
an	3	辨	辨	ban4			
an	3	辨	辨	bian4			
an	3	邅	邅	zhan4			
an	3	醓	醓	tan3			
an	3	鋻	鉴	jan4			
an	3	錎	錎	kan3			
an	3	錎	錎	xan4			
an	3	錢	钱	zian3			
an	3	錧	錧	guan3			
an	3	錧	錧	guan4			
an	3	錪	錪	dian3			
an	3	錪	錪	tian3			
an	3	錽	錽	man3			
an	3	鍵	键	jan4			
an	3	閹	阉	yan3			
an	3	靛	靛	dian4			
an	3	靦	腼	tian3			
an	3	鞙	鞙	xuan4			
an	3	頷	颔	han4			
an	3	餞	饯	zian4			
an	3	餞	饯	ziuan4			
an	3	餡	馅	xan4			
an	3	鬳	鬳	yan4			
an	3	鴘	鴘	bian3			
an	3	鴘	鴘	pian3			
an	3	鴠	鴠	dan4			
an	3	黕	黕	tan3			
an	3	館	馆	guan4			
an	3	㜮	㜮	lan4			
an	3	㦚	㦚	bian3			
an	3	㯬	㯬	lian3			
an	3	㺝	㺝	xan4			
an	3	䁮	䁮	zian4			
an	3	䍺	䍺	huan4			
an	3	䎯	䎯	han4			
an	3	䐮	䐮	chan3			
an	3	䗣	䗣	han4			
an	3	䟅	䟅	zian4			
an	3	䨢	䨢	dan4			
an	3	䩩	䩩	yuan3			
an	3	䩪	䩪	guan3			
an	3	䵤	䵤	dian3			
an	3	䵤	䵤	xan4			
an	3	嚂	嚂	han3			
an	3	嚂	嚂	kan4			
an	3	嚂	嚂	lan4			
an	3	壍	壍	cian4			
an	3	壏	壏	xan4			
an	3	嬮	嬮	yan4			
an	3	嬱	嬱	cian4			
an	3	懢	懢	lan4			
an	3	斂	敛	lian3			
an	3	斂	敛	lian4			
an	3	檢	检	jan3			
an	3	歜	歜	zan4			
an	3	燦	灿	can4			
an	3	燷	燷	lan3			
an	3	獮	獮	sian3			
an	3	璨	璨	can4			
an	3	甔	甔	dan4			
an	3	疃	疃	tuan3			
an	3	瞫	瞫	dan4			
an	3	磰	磰	shan4			
an	3	磹	磹	dian4			
an	3	窾	窾	kuan3			
an	3	竁	竁	chuan4			
an	3	篸	篸	zan4			
an	3	簅	簅	shan3			
an	3	糝	糁	san3			
an	3	縯	演	yan3			
an	3	縵	缦	man4			
an	3	縼	縼	siuan4			
an	3	繤	繤	zuan3			
an	3	膻	膻	dan4			
an	3	膽	胆	dan3			
an	3	臉	脸	lan3			
an	3	藆	藆	jan3			
an	3	藊	藊	bian3			
an	3	螹	螹	zian4			
an	3	蟃	蟃	wan4			
an	3	襇	襇	jan4			
an	3	襈	襈	juan4			
an	3	襈	襈	shuan4			
an	3	襑	襑	tan3			
an	3	謇	謇	jan3			
an	3	豏	豏	xan4			
an	3	賺	赚	zhan4			
an	3	蹇	蹇	jan3			
an	3	輾	辗	zhan3			
an	3	輾	辗	nian4			
an	3	鄻	鄻	lian3			
an	3	鄼	鄼	zan4			
an	3	鄼	鄼	zuan3			
an	3	鍛	锻	duan4			
an	3	闇	暗	an4			
an	3	雚	雚	guan4			
an	3	顄	顄	han4			
an	3	顈	顈	xan4			
an	3	顉	顉	an3			
an	3	餪	餪	nuan3			
an	3	駻	駻	han4			
an	3	駽	駽	xuan4			
an	3	鮮	鲜	sian3			
an	3	鮮	鲜	sian4			
an	3	鴳	鴳	yan4			
an	3	點	点	dian3			
an	3	鼾	鼾	han4			
an	3	濫	滥	lan4			
an	3	濫	滥	xan4			
an	3	鍊	炼	lian4			
an	3	殮	殓	lian4			
an	3	㯺	㯺	han3			
an	3	㯺	㯺	xan4			
an	3	㸤	㸤	pian4			
an	3	㽉	㽉	xan4			
an	3	䁴	䁴	shan3			
an	3	䁴	䁴	zhan3			
an	3	䁵	䁵	bian3			
an	3	䃫	䃫	dan3			
an	3	䃭	䃭	gan3			
an	3	䄠	䄠	shan4			
an	3	䆄	䆄	zhan3			
an	3	䉈	䉈	san3			
an	3	䊤	䊤	dan4			
an	3	䍻	䍻	siuan4			
an	3	䐺	䐺	tan4			
an	3	䗰	䗰	guan4			
an	3	䝡	䝡	wan4			
an	3	䝢	䝢	man4			
an	3	䡬	䡬	wan4			
an	3	䭑	䭑	lian3			
an	3	䮗	䮗	an4			
an	3	䳚	䳚	kan4			
an	3	懣	懑	man3			
an	3	擥	擥	lan3			
an	3	擪	擪	yan3			
an	3	攅	攅	zan4			
an	3	攅	攅	zuan4			
an	3	斷	断	duan3			
an	3	斷	断	duan4			
an	3	檻	槛	xan4			
an	3	檿	檿	yan3			
an	3	濺	溅	zian4			
an	3	燹	燹	sian3			
an	3	爁	爁	lan3			
an	3	爁	爁	lan4			
an	3	爁	爁	lian4			
an	3	皽	皽	zhan3			
an	3	瞼	睑	jan3			
an	3	竄	窜	cuan4			
an	3	簟	簟	dian4			
an	3	簡	简	jan3			
an	3	糣	糣	san3			
an	3	糤	糤	san3			
an	3	繏	繏	siuan4			
an	3	繕	缮	shan4			
an	3	繖	繖	san3			
an	3	繖	繖	san4			
an	3	繟	繟	chan3			
an	3	繭	茧	jan3			
an	3	羂	羂	juan3			
an	3	藖	藖	xan4			
an	3	蟮	蟮	shan4			
an	3	襜	襜	chan4			
an	3	襢	襢	dan4			
an	3	襢	襢	zhan3			
an	3	襢	襢	zhan4			
an	3	覱	覱	zhan4			
an	3	謲	謲	can4			
an	3	謾	谩	man4			
an	3	譀	譀	han4			
an	3	譀	譀	xan4			
an	3	豃	豃	xan3			
an	3	贃	贃	wan4			
an	3	蹔	蹔	zan4			
an	3	轉	转	zhuan3			
an	3	轉	转	zhuan4			
an	3	酀	酀	yan4			
an	3	醦	醦	shan3			
an	3	闐	阗	dian4			
an	3	雗	雗	han4			
an	3	韗	韗	xuan4			
an	3	顑	顑	kan3			
an	3	顑	顑	yan4			
an	3	鮸	鮸	mian3			
an	3	鯇	鲩	huan4			
an	3	㞡	㞡	zhan3			
an	3	㰈	㰈	lian3			
an	3	䆾	䆾	lan4			
an	3	䌞	䌞	lian3			
an	3	䠣	䠣	quan4			
an	3	䠣	䠣	siuan4			
an	3	䩶	䩶	chan3			
an	3	䫡	䫡	jan4			
an	3	䫡	䫡	qan3			
an	3	䫡	䫡	qan4			
an	3	䭕	䭕	zan3			
an	3	䱤	䱤	jan4			
an	3	䱤	䱤	xan4			
an	3	儳	儳	chan4			
an	3	儳	儳	zhan4			
an	3	勸	劝	quan4			
an	3	厴	厣	yan3			
an	3	嚥	咽	yan4			
an	3	嬾	嬾	lan3			
an	3	嬿	嬿	yan3			
an	3	嬿	嬿	yan4			
an	3	幰	幰	xan3			
an	3	攇	攇	xan3			
an	3	瀗	瀗	xan4			
an	3	瀚	瀚	han4			
an	3	瀳	瀳	zian4			
an	3	瓉	瓉	zan4			
an	3	瓣	瓣	ban4			
an	3	簳	簳	gan3			
an	3	繯	缳	huan4			
an	3	繵	繵	dan4			
an	3	繾	缱	qan3			
an	3	繾	缱	qan4			
an	3	羷	羷	lian3			
an	3	臔	臔	xan4			
an	3	舚	舚	tian4			
an	3	艶	艶	yan4			
an	3	蟺	蟮	shan4			
an	3	蠉	蠉	xuan3			
an	3	覸	覸	bian3			
an	3	覸	覸	jan4			
an	3	譔	撰	shuan4			
an	3	譚	谭	dan4			
an	3	贉	贉	dan4			
an	3	贊	赞	zan4			
an	3	贋	贋	yan4			
an	3	贎	贎	wan4			
an	3	蹨	蹨	rhan3			
an	3	蹨	蹨	nian3			
an	3	轏	轏	shan4			
an	3	醰	醰	dan4			
an	3	鏆	鏆	guan4			
an	3	鏇	镟	siuan4			
an	3	鏋	鏋	man3			
an	3	鏝	镘	man4			
an	3	鏟	铲	chan3			
an	3	鏟	铲	chan4			
an	3	鏨	錾	zan4			
an	3	鏨	錾	zian4			
an	3	闞	阚	kan4			
an	3	闞	阚	xan3			
an	3	闞	阚	xan4			
an	3	難	难	nan4			
an	3	願	愿	yuan4			
an	3	顚	顚	tian4			
an	3	顛	颠	tian4			
an	3	颿	颿	fan4			
an	3	騗	騗	pian4			
an	3	騙	骗	pian4			
an	3	鬋	鬋	zian3			
an	3	鬋	鬋	zian4			
an	3	懶	懒	lan3			
an	3	㬫	㬫	yan4			
an	3	䠨	䠨	chan4			
an	3	䡀	䡀	zhan3			
an	3	䥗	䥗	kuan3			
an	3	䥗	䥗	kuan4			
an	3	䫩	䫩	can3			
an	3	䫩	䫩	san3			
an	3	䮧	䮧	han4			
an	3	䵖	䵖	qan3			
an	3	䵖	䵖	qan4			
an	3	嚵	嚵	chan4			
an	3	嚵	嚵	zian4			
an	3	嚾	嚾	huan4			
an	3	孂	孂	jan3			
an	3	巉	巉	shan4			
an	3	巏	巏	guan4			
an	3	廯	廯	sian3			
an	3	懺	忏	chan4			
an	3	懽	懽	guan4			
an	3	瀲	潋	lian3			
an	3	瀲	潋	lian4			
an	3	瀺	瀺	shan4			
an	3	瀾	澜	lan4			
an	3	灌	灌	guan4			
an	3	爓	爓	yan4			
an	3	獻	献	xan4			
an	3	甗	甗	yan3			
an	3	甗	甗	yan4			
an	3	竷	竷	kan3			
an	3	竷	竷	kan4			
an	3	纂	纂	zuan3			
an	3	艦	舰	xan4			
an	3	蘚	藓	sian3			
an	3	蘞	蔹	lian3			
an	3	蘫	蘫	han4			
an	3	蠒	蠒	jan3			
an	3	譣	譣	xan3			
an	3	譧	譧	zhan4			
an	3	譱	譱	shan4			
an	3	譴	谴	qan4			
an	3	贍	赡	shan4			
an	3	轗	轗	kan3			
an	3	轗	轗	kan4			
an	3	轘	轘	huan4			
an	3	辮	辫	bian4			
an	3	醶	醶	chan3			
an	3	醶	醶	lan3			
an	3	鏾	鏾	san3			
an	3	鐧	鐧	jan4			
an	3	闡	阐	chan3			
an	3	霰	霰	sian4			
an	3	韽	韽	yan4			
an	3	饊	饊	san3			
an	3	饌	馔	shuan4			
an	3	饍	饍	shan4			
an	3	騴	騴	yan4			
an	3	騸	骟	shan4			
an	3	鰀	鰀	huan4			
an	3	鰊	鰊	lian4			
an	3	鰋	鰋	yan3			
an	3	鶠	鶠	yan3			
an	3	鶨	鶨	chuan4			
an	3	麵	面	mian4			
an	3	黤	黤	an3			
an	3	黤	黤	yan3			
an	3	齞	齞	yan3			
an	3	䜝	䜝	tuan3			
an	3	䟍	䟍	yan3			
an	3	䠪	䠪	tuan3			
an	3	䤔	䤔	zian4			
an	3	䦲	䦲	chan4			
an	3	儹	儹	zuan3			
an	3	儼	俨	yan3			
an	3	卛	卛	juan4			
an	3	囀	啭	zhuan4			
an	3	欃	欃	zhan4			
an	3	爟	爟	guan4			
an	3	瓘	瓘	guan4			
an	3	籑	籑	shuan4			
an	3	纉	纉	zuan3			
an	3	纏	缠	zhan4			
an	3	羼	羼	chan3			
an	3	羼	羼	chan4			
an	3	覽	览	lan3			
an	3	讂	讂	juan4			
an	3	讂	讂	xuan4			
an	3	贑	贑	gan3			
an	3	轞	轞	xan4			
an	3	辯	辩	bian4			
an	3	饘	饘	zhan3			
an	3	鬗	鬗	wan4			
an	3	鰥	鳏	guan4			
an	3	鷃	鷃	yan4			
an	3	鹻	鹻	jan3			
an	3	黭	黭	an3			
an	3	黮	黮	dan4			
an	3	黮	黮	tan3			
an	3	黯	黯	yan3			
an	3	齦	龈	qan3			
an	3	爛	烂	lan4			
an	3	㜺	㜺	san4			
an	3	㜺	㜺	zan4			
an	3	㶒	㶒	tan4			
an	3	㶕	㶕	jan3			
an	3	㶗	㶗	fan4			
an	3	㶘	㶘	dian4			
an	3	䃸	䃸	sian4			
an	3	䆎	䆎	sian4			
an	3	䌪	䌪	yan3			
an	3	䘆	䘆	xan3			
an	3	䨲	䨲	wan4			
an	3	䪜	䪜	chan4			
an	3	䫲	䫲	han3			
an	3	䫲	䫲	han4			
an	3	䭤	䭤	qan3			
an	3	䳻	䳻	zhan4			
an	3	囅	冁	chan3			
an	3	囋	囋	san4			
an	3	孌	娈	liuan3			
an	3	孌	娈	liuan4			
an	3	孿	孪	shuan4			
an	3	攢	攒	zan3			
an	3	攤	摊	nan3			
an	3	攤	摊	nan4			
an	3	灒	灒	zan4			
an	3	灘	滩	han3			
an	3	灘	滩	nan4			
an	3	玁	玁	xan3			
an	3	癬	癣	sian3			
an	3	矔	矔	guan4			
an	3	籛	籛	zian3			
an	3	籛	籛	zian4			
an	3	蘸	蘸	zhan4			
an	3	譾	谫	zian3			
an	3	讃	讃	zan4			
an	3	贗	赝	yan4			
an	3	鑑	鉴	jan4			
an	3	鑒	鉴	jan4			
an	3	韂	韂	chan4			
an	3	顩	顩	yan3			
an	3	顫	颤	zhan4			
an	3	驏	骣	shan4			
an	3	驔	驔	dian4			
an	3	鰻	鳗	wan4			
an	3	鱄	鱄	zhuan3			
an	3	鼴	鼹	yan3			
an	3	㪻	㪻	fan4			
an	3	㬮	㬮	nan4			
an	3	䉳	䉳	sian3			
an	3	䍎	䍎	cian4			
an	3	䑎	䑎	chan3			
an	3	䙭	䙭	jan3			
an	3	䜢	䜢	xan3			
an	3	䪈	䪈	qan4			
an	3	䲌	䲌	kuan3			
an	3	䲌	䲌	kuan4			
an	3	䵐	䵐	chan3			
an	3	巘	巘	yan3			
an	3	戁	戁	nan3			
an	3	戁	戁	rhan3			
an	3	曮	曮	yan3			
an	3	灓	灓	liuan4			
an	3	灓	灓	luan4			
an	3	灛	灛	chan3			
an	3	灡	灡	lan3			
an	3	瓚	瓒	san4			
an	3	瓚	瓒	zan4			
an	3	禶	禶	zan4			
an	3	罐	罐	guan4			
an	3	艬	艬	zhan4			
an	3	虇	虇	quan3			
an	3	虇	虇	quan4			
an	3	襺	襺	jan3			
an	3	讇	讇	chan3			
an	3	變	变	bian4			
an	3	讌	宴	yan4			
an	3	贙	贙	xuan4			
an	3	醼	宴	yan4			
an	3	鑚	鑚	zuan4			
an	3	韅	韅	xan3			
an	3	韅	韅	xan4			
an	3	顯	显	xan3			
an	3	饜	餍	yan4			
an	3	驗	验	yan4			
an	3	魘	魇	yan3			
an	3	鱓	鱓	shan4			
an	3	鷰	燕	yan4			
an	3	黲	黪	can3			
an	3	鼸	鼸	xan4			
an	3	戀	恋	liuan4			
an	3	䂎	䂎	cuan4			
an	3	䂎	䂎	zuan3			
an	3	䂎	䂎	zuan4			
an	3	䤗	䤗	gan3			
an	3	䤘	䤘	chan3			
an	3	䤘	䤘	cian3			
an	3	䲓	䲓	yan3			
an	3	攬	揽	lan3			
an	3	灝	灏	gan3			
an	3	爤	爤	lan4			
an	3	矕	矕	man3			
an	3	礹	礹	yan3			
an	3	穳	穳	san4			
an	3	襸	襸	zan4			
an	3	襻	襻	pan4			
an	3	觀	观	guan4			
an	3	讒	谗	zhan4			
an	3	讕	谰	lan3			
an	3	讕	谰	lan4			
an	3	贛	赣	gan3			
an	3	贛	赣	gan4			
an	3	鱤	鱤	gan3			
an	3	鹼	硷	jan3			
an	3	鹽	盐	yan4			
an	3	齴	齴	yan3			
an	3	㝈	㝈	shuan4			
an	3	欖	榄	lan3			
an	3	籫	籫	zuan3			
an	3	纘	缵	zuan3			
an	3	臠	脔	liuan3			
an	3	躥	蹿	cuan4			
an	3	鑭	镧	lan4			
an	3	鑱	鑱	zhan4			
an	3	鑳	鑳	jan4			
an	3	鑵	罐	guan4			
an	3	顲	顲	lan3			
an	3	顲	顲	lan4			
an	3	黵	黵	dan3			
an	3	㔶	㔶	gan3			
an	3	䪌	䪌	zhan4			
an	3	糷	糷	lan4			
an	3	讚	赞	zan4			
an	3	趲	趱	zan3			
an	3	趲	趱	zan4			
an	3	釅	酽	yan4			
an	3	鑹	鑹	cuan4			
an	3	驠	驠	yan4			
an	3	黶	黶	yan3			
an	3	灧	灧	yan4			
an	3	灨	灨	gan3			
an	3	灨	灨	gan4			
an	3	纜	缆	lan3			
an	3	纜	缆	lan4			
an	3	讞	谳	yan3			
an	3	鑽	钻	zuan4			
an	3	饡	饡	zan4			
an	3	豔	艳	yan4			
an	3	鱹	鱹	guan4			
an	3	䀍	䀍	dan4			
an	3	䰖	䰖	zan3			
an	3	䰖	䰖	zan4			
an	3	鸛	鹳	guan4			
an	3	爨	爨	cuan4			
an	3	灩	滟	yan4			
an	3	𠂼	𠂼	dian4			
an	3	𠆩	𠆩	fan4			
an	3	𠆲	𠆲	yan3			
an	3	𠊩	𠊩	shan4			
an	3	𠐩	𠐩	chan3			
an	3	𠐻	𠐻	jan3			
an	3	𠐻	𠐻	jan4			
an	3	𠑆	𠑆	chuan3			
an	3	𠒜	𠒜	yuan3			
an	3	𠓭	𠓭	lan3			
an	3	𠟉	𠟉	zhan3			
an	3	𠤦	𠤦	rhuan3			
an	3	𠨎	𠨎	shuan4			
an	3	𠪚	𠪚	kan3			
an	3	𠪚	𠪚	tan3			
an	3	𠬝	𠬝	nian3			
an	3	𠭖	𠭖	gan3			
an	3	𠯘	𠯘	ban4			
an	3	𠳋	𠳋	qan3			
an	3	𠻤	𠻤	yan3			
an	3	𠻤	𠻤	yan4			
an	3	𠿍	𠿍	dian4			
an	3	𡄑	𡄑	zian4			
an	3	𡅻	𡅻	han4			
an	3	𡅻	𡅻	huan4			
an	3	𡇰	𡇰	zhuan3			
an	3	𡒓	𡒓	han3			
an	3	𡕢	𡕢	man3			
an	3	𡕢	𡕢	mian3			
an	3	𡖓	𡖓	tan3			
an	3	𡗹	𡗹	fan4			
an	3	𡘸	𡘸	jan3			
an	3	𡙷	𡙷	yan4			
an	3	𡚪	𡚪	fan4			
an	3	𡜉	𡜉	rhan3			
an	3	𡞟	𡞟	ban4			
an	3	𡞣	𡞣	xan4			
an	3	𡟨	𡟨	shan3			
an	3	𡡗	𡡗	liuan3			
an	3	𡣊	𡣊	han4			
an	3	𡧍	𡧍	mian4			
an	3	𡭐	𡭐	shuan4			
an	3	𡭪	𡭪	bian4			
an	3	𡱂	𡱂	dian4			
an	3	𡳋	𡳋	zan4			
an	3	𡷛	𡷛	han4			
an	3	𡹮	𡹮	yan3			
an	3	𡹼	𡹼	an4			
an	3	𡻡	𡻡	han4			
an	3	𡾰	𡾰	jan3			
an	3	𡾰	𡾰	jan4			
an	3	𡿨	𡿨	juan3			
an	3	𢁗	𢁗	gan4			
an	3	𢂺	𢂺	cian4			
an	3	𢃗	𢃗	han4			
an	3	𢃮	𢃮	mian3			
an	3	𢄻	𢄻	san3			
an	3	𢅼	𢅼	nan4			
an	3	𢆞	𢆞	jan3			
an	3	𢇘	𢇘	yan3			
an	3	𢇞	𢇞	han4			
an	3	𢊰	𢊰	sian4			
an	3	𢎘	𢎘	han4			
an	3	𢐄	𢐄	yuan4			
an	3	𢒞	𢒞	lan4			
an	3	𢕕	𢕕	san3			
an	3	𢘇	𢘇	dan4			
an	3	𢘎	𢘎	rhuan3			
an	3	𢜩	𢜩	qan3			
an	3	𢜰	𢜰	yan4			
an	3	𢟮	𢟮	man3			
an	3	𢠶	𢠶	huan4			
an	3	𢣎	𢣎	tuan3			
an	3	𢣑	𢣑	bian4			
an	3	𢨔	𢨔	man3			
an	3	𢭃	𢭃	duan3			
an	3	𢮛	𢮛	shuan4			
an	3	𢯻	𢯻	yuan3			
an	3	𢳄	𢳄	siuan4			
an	3	𢴵	𢴵	yan4			
an	3	𢵈	𢵈	jan3			
an	3	𢷖	𢷖	duan3			
an	3	𢷘	𢷘	jan3			
an	3	𢹕	𢹕	jan3			
an	3	𢺃	𢺃	jan3			
an	3	𢽤	𢽤	gan3			
an	3	𢽳	𢽳	san3			
an	3	𢾋	𢾋	tan4			
an	3	𢿜	𢿜	man4			
an	3	𢿢	𢿢	luan4			
an	3	𢿨	𢿨	san3			
an	3	𢿨	𢿨	san4			
an	3	𢿱	𢿱	san4			
an	3	𣀔	𣀔	fan4			
an	3	𣀧	𣀧	san3			
an	3	𣀧	𣀧	san4			
an	3	𣃘	𣃘	chan3			
an	3	𣃧	𣃧	yan3			
an	3	𣃰	𣃰	yan3			
an	3	𣄉	𣄉	yan3			
an	3	𣄝	𣄝	yan4			
an	3	𣊟	𣊟	kan4			
an	3	𣊡	𣊡	xan3			
an	3	𣓅	𣓅	qan3			
