韻	字	簡化字	推導音	校正音	罕用標記	註
ang	雙	双	shuang1			
ang	鞤		bang1			
ang	䗵		jang1			
ang	瀧	泷	shuang1			
ang	疆		jang1			
ang	簹		dang1			
ang	繮		jang1			
ang	蟷		dang1			
ang	鏘	锵	ciang1			
ang	鏜	镗	tang1			
ang	鏦		chuang1			
ang	闛		tang1			
ang	顙	颡	ciang1			
ang	鯧	鲳	chang1			
ang	䵮		shang1			
ang	孀		shuang1			
ang	忀		siang1			
ang	欀		siang1			
ang	瓖	镶	siang1			
ang	贓	赃	zang1			
ang	鐺	铛	dang1			
ang	霶		pang1			
ang	騻		shuang1			
ang	髒	脏	zang1			
ang	鶬		cang1			
ang	鶬		ciang1			
ang	鼚		chang1			
ang	韁	缰	jang1			
ang	鱂		ziang1			
ang	鷞		shuang1			
ang	麞		zhang1			
ang	䵼		shang1			
ang	纕		siang1			
ang	蠰		shuang1			
ang	䉶		shuang1			
ang	艭		shuang1			
ang	鼞		tang1			
ang	䝄		shuang1			
ang	鑲	镶	siang1			
ang	饟	饷	shang1			
ang	驤	骧	siang1			
ang	驦		shuang1			
ang	鸘		shuang1			
ang	𠛂		chuang1			
ang	𠥐		cang1			
ang	𠸶		sang1			
ang	𡸓		qang1			
ang	𢥠		shuang1			
ang	𢪇		ziang1			
ang	𣂆		pang1			
ang	𣆖		huang1			
ang	𣺬		huang1			
ang	𣻛		zhuang1			
ang	𤟄		qang1			
ang	𤭛		gang1			
ang	𤮊		kang1			
ang	𤰫		bang1			
ang	𤳈		shang1			
ang	𤵸		pang1			
ang	𥉽		kang1			
ang	𥍷		chuang1			
ang	𥏻		shang1			
ang	𥏻		ciang1			
ang	𥡃		huang1			
ang	𥡟		chuang1			
ang	𥿼		huang1			
ang	𦅇		sang1			
ang	𦡁		dang1			
ang	𦳝		chang1			
ang	𦳝		tang1			
ang	𧅁		jang1			
ang	𧜧		chuang1			
ang	𧢸		jang1			
ang	𧧢		huang1			
ang	𧧮		huang1			
ang	𧲱		ang1			
ang	𧶜		shang1			
ang	𧼮		tang1			
ang	𨄚		ciang1			
ang	𨇯		shuang1			
ang	𨋪		xang1			
ang	𨎩		guang1			
ang	𨎴		dang1			
ang	𨢐		bang1			
ang	𨶆		ciang1			
ang	𨻷		kang1			
ang	𩀞		cang1			
ang	𩌬		zhang1			
ang	𩐨		pang1			
ang	𩢼		kuang1			
ang	𩣐		huang1			
ang	𩦌		sang1			
ang	𩧉		guang1			
ang	𩩝		qang1			
ang	𩬹		kuang1			
ang	𪁘		wang1			
ang	𪄲		shang1			
ang	𪅂		zhang1			
ang	𪐿		pang1			
ang	𪔔		pang1			
ang	𪙝		ciang1			
ang	亡		wang2			
ang	亾		wang2			
ang	卬	昂	ang2			
ang	方		fang2			
ang	王		wang2			
ang	疒		chuang2			
ang	邙		mang2			
ang	邙		wang2			
ang	吂		mang2			
ang	夅		xang2			
ang	忙		mang2			
ang	汒		mang2			
ang	羊		yang2			
ang	芒		mang2			
ang	芒		wang2			
ang	邟		hang2			
ang	防		fang2			
ang	行		hang2			
ang	㞷		kuang2			
ang	吭		hang2			
ang	坊		fang2			
ang	尨		mang2			
ang	床		chuang2			
ang	彷		pang2			
ang	彺		wang2			
ang	抗		hang2			
ang	杗		mang2			
ang	杗		wang2			
ang	沆		hang2			
ang	狂		kuang2			
ang	苀		hang2			
ang	迒		hang2			
ang	良		liang2			
ang	佯		ciang2			
ang	佯		yang2			
ang	坣		tang2			
ang	尚		chang2			
ang	戕		ciang2			
ang	房		fang2			
ang	房		pang2			
ang	昂		ang2			
ang	杭		hang2			
ang	枊		ang2			
ang	牀		chuang2			
ang	肪		fang2			
ang	肮		hang2			
ang	長	长	chang2			
ang	降		xang2			
ang	㟅		yang2			
ang	厖		mang2			
ang	庠		siang2			
ang	徉		yang2			
ang	恾		mang2			
ang	昜		yang2			
ang	洋		siang2			
ang	洋		yang2			
ang	洚		xang2			
ang	皇		huang2			
ang	缸		xang2			
ang	茫		mang2			
ang	逄		pang2			
ang	㝗		lang2			
ang	㟌		mang2			
ang	㟍		lang2			
ang	䍿		huang2			
ang	䒢		ang2			
ang	哤		mang2			
ang	哴		lang2			
ang	唐		tang2			
ang	娏		mang2			
ang	娘		niang2			
ang	旁		pang2			
ang	栙		xang2			
ang	样		yang2			
ang	桁		hang2			
ang	欴		lang2			
ang	浝		mang2			
ang	烊		yang2			
ang	狵		mang2			
ang	缻		xang2			
ang	胮		pang2			
ang	胻		hang2			
ang	航		hang2			
ang	莣		wang2			
ang	莨		lang2			
ang	蚟		wang2			
ang	蚢		hang2			
ang	浪		lang2			
ang	狼		lang2			
ang	凉		liang2			
ang	祥		siang2			
ang	㙊		chang2			
ang	䀮		mang2			
ang	偟		huang2			
ang	凰		huang2			
ang	堂		tang2			
ang	常		chang2			
ang	強	强	qang2			
ang	徜		chang2			
ang	朚		mang2			
ang	朚		wang2			
ang	望		wang2			
ang	桹		lang2			
ang	涳		nang2			
ang	涼	凉	liang2			
ang	淙		chuang2			
ang	牻		mang2			
ang	琅		lang2			
ang	瓺		chang2			
ang	痒		siang2			
ang	眻		yang2			
ang	硭		wang2			
ang	萇	苌	chang2			
ang	蓈		lang2			
ang	趽		pang2			
ang	軖		kuang2			
ang	陽	阳	yang2			
ang	隍		huang2			
ang	梁		liang2			
ang	㭿		ang2			
ang	㹁		liang2			
ang	䧜		tang2			
ang	傍		pang2			
ang	傏		tang2			
ang	啺		tang2			
ang	堭		huang2			
ang	場	场	chang2			
ang	媓		huang2			
ang	崲		huang2			
ang	崵		yang2			
ang	徨		huang2			
ang	惶		huang2			
ang	揚	扬	yang2			
ang	敭		yang2			
ang	棠		tang2			
ang	椋		liang2			
ang	榔		lang2			
ang	湟		huang2			
ang	瑯	琅	lang2			
ang	痝		mang2			
ang	硠		lang2			
ang	稂		lang2			
ang	筕		hang2			
ang	翔		siang2			
ang	舽		pang2			
ang	葟		huang2			
ang	蛘		yang2			
ang	遑		huang2			
ang	黃	黄	huang2			
ang	量		liang2			
ang	䜶		xang2			
ang	䩕		ang2			
ang	塘		tang2			
ang	搪		tang2			
ang	暘	阳	yang2			
ang	楊	杨	yang2			
ang	溏		tang2			
ang	煌		huang2			
ang	煬	炀	yang2			
ang	瑒		yang2			
ang	甞		chang2			
ang	禓		yang2			
ang	筤		lang2			
ang	粮		liang2			
ang	粱		liang2			
ang	腸	肠	chang2			
ang	艆		lang2			
ang	蓎		tang2			
ang	蛖		mang2			
ang	蜋		lang2			
ang	蜋		liang2			
