序號	目次	聲	shengOrder	等	toenkOrder	呼	xuOrder	韻部	hiunnOrder	調	dewOrder	攝	shapOrder	反切	平水韻目	古韻羅馬字	有女羅馬字	推導拼音	小韻字數	字	備註	validation
950	下平16蒸	影	E3	三	3	開	1	蒸	下16	平	1	曾	14	於陵	蒸	qing	iong	ying1	4	膺應鷹𧕄		TRUE
951	下平16蒸	並	A3	三	3	開	1	蒸	下16	平	1	曾	14	扶冰	蒸	bing	biong	ping2	5	凭馮憑淜㵗		TRUE
952	下平16蒸	幫	A1	三	3	開	1	蒸	下16	平	1	曾	14	筆陵	蒸	ping	piong	bing1	3	冫(仌)冰掤		TRUE
953	下平16蒸	以	E5	三	3	開	1	蒸	下16	平	1	曾	14	余陵	蒸	jing	jong	ying2	1	蠅		TRUE
954	下平16蒸	船	CD3	三	3	開	1	蒸	下16	平	1	曾	14	食陵	蒸	zsjing	djong	cheng2	12	繩譝憴鱦乗(乘)椉𠅞澠溗塍塖騬		TRUE
955	下平16蒸	書	CD4	三	3	開	1	蒸	下16	平	1	曾	14	識蒸	蒸	sjing	sjong	sheng1	5	升昇陞勝抍		TRUE
956	下平16蒸	日	CD6	三	3	開	1	蒸	下16	平	1	曾	14	如乗	蒸	njing	rong	reng2	7	仍艿䚮㭁辸礽扔		TRUE
957	下平16蒸	見	D1	三	3	開	1	蒸	下16	平	1	曾	14	居陵	蒸	king	kiong	jing1	2	兢矜		TRUE
958	下平16蒸	知	CB1	三	3	開	1	蒸	下16	平	1	曾	14	陟陵	蒸	tring	tiong	zheng1	4	徵癥(症)𨟃𣃘		TRUE
959	下平16蒸	從	CA3	三	3	開	1	蒸	下16	平	1	曾	14	疾陵	蒸	zing	dziong	qing2	6	繒鄫驓橧竲嶒		TRUE
960	下平16蒸	疑	D4	三	3	開	1	蒸	下16	平	1	曾	14	魚陵	蒸	nging	ngiong	ying2	1	凝		TRUE
961	下平16蒸	曉	E1	三	3	開	1	蒸	下16	平	1	曾	14	虚陵	蒸	hing	xiong	xing1	3	興𨞾	2?	TRUE
962	下平16蒸	昌	CD2	三	3	開	1	蒸	下16	平	1	曾	14	處陵	蒸	chjing	tcong	cheng1	3	稱爯偁		TRUE
963	下平16蒸	群	D3	三	3	開	1	蒸	下16	平	1	曾	14	其矜	蒸	ging	giong	qing2	2	殑䔷		TRUE
964	下平16蒸	生	CC4	三	3	開	1	蒸	下16	平	1	曾	14	山矜	蒸	sring	shong	sheng1	1	㱡		TRUE
965	下平16蒸	溪	D2	三	3	開	1	蒸	下16	平	1	曾	14	綺兢	蒸	khing	qiong	qing1	1	硱		TRUE
966	下平16蒸	徹	CB2	三	3	開	1	蒸	下16	平	1	曾	14	丑升	蒸	thring	thiong	cheng1	3	僜庱睖		TRUE
967	下平16蒸	崇	CC3	三	3	開	1	蒸	下16	平	1	曾	14	仕兢	蒸	zring	drong	cheng2	1	磳		TRUE
968	下平16蒸	滂	A2	三	3	開	1	蒸	下16	平	1	曾	14	披冰	蒸	phing	phiong	ping1	1	砯		TRUE
969	下平17登	端	B1	一	1	開	1	登	下17	平	1	曾	14	都滕	蒸	tong	tong	deng1	8	登璒燈簦㲪䔲㽅䳾		TRUE
970	下平17登	來	B5	一	1	開	1	登	下17	平	1	曾	14	魯登	蒸	long	long	leng2	6	楞棱稜輘倰祾		TRUE
971	下平17登	心	CA4	一	1	開	1	登	下17	平	1	曾	14	蘇增	蒸	song	song	seng1	3	僧鬙䒏		TRUE
972	下平17登	幫	A1	一	1	開	1	登	下17	平	1	曾	14	北滕	蒸	pong	pong	beng1	1	崩		TRUE
973	下平17登	精	CA1	一	1	開	1	登	下17	平	1	曾	14	作滕	蒸	cong	zong	zeng1	12	增憎磳曾矰罾熷䎖竲橧譄𦼏		TRUE
974	下平17登	明	A4	一	1	開	1	登	下17	平	1	曾	14	武登	蒸	mong	mong	meng2	4	瞢蕄䒐(𦱛)		TRUE
975	下平17登	從	CA3	一	1	開	1	登	下17	平	1	曾	14	昨楞	蒸	zong	dzong	ceng2	3	層曾䁬		TRUE
976	下平17登	並	A3	一	1	開	1	登	下17	平	1	曾	14	步崩	蒸	bong	bong	peng2	6	朋堋鵬棚倗鬅		TRUE
977	下平17登	匣	E2	一	1	合	2	登	下17	平	1	曾	14	胡肱	蒸	ghuong	huong	hong2	3	弘鞃苰		TRUE
978	下平17登	見	D1	一	1	合	2	登	下17	平	1	曾	14	古弘	蒸	kuong	kuong	gong1	2	肱𩉦		TRUE
979	下平17登	曉	E1	一	1	合	2	登	下17	平	1	曾	14	呼肱	蒸	huong	xuong	hong1	5	薨𠐿𩖉𩙛𤃫		TRUE
980	下平17登	泥	B4	一	1	開	1	登	下17	平	1	曾	14	奴登	蒸	nong	nong	neng2	1	能		TRUE
981	下平17登	定	B3	一	1	開	1	登	下17	平	1	曾	14	徒登	蒸	dong	dong	teng2	12	騰滕縢幐螣藤謄𧈜儯𤻴鰧𥉋		TRUE
982	下平17登	匣	E2	一	1	開	1	登	下17	平	1	曾	14	胡登	蒸	ghong	hong	heng2	3	恒𢛢峘		TRUE
983	下平17登	見	D1	一	1	開	1	登	下17	平	1	曾	14	古恒	蒸	kong	kong	geng1	3	搄縆絙		TRUE
984	下平17登	透	B2	一	1	開	1	登	下17	平	1	曾	14	他登	蒸	thong	thong	teng1	4	鼟膯𤃶𧰥		TRUE
985	下平17登	滂	A2	一	1	開	1	登	下17	平	1	曾	14	普朋	蒸	phong	phong	peng1	2	漰堋		TRUE
986	下平18尤	云	E4	三	3	開	1	尤	下18	平	1	流	7	羽求	尤	iu	hiou	you2	9	尤𣏞腄疣肬𪐤沋郵訧		TRUE
987	下平18尤	影	E3	三	3	開	1	尤	下18	平	1	流	7	於求	尤	qiu	iou	you1	17	憂優瀀𢕶麀𪋎櫌鄾𢆶怮嚘耰獶𧀥纋㱊妋		TRUE
988	下平18尤	來	B5	三	3	開	1	尤	下18	平	1	流	7	力求	尤	liu	liou	liu2	44	留!劉蒥勠摎鶹騮駵疁𥹷流㳅飂飀瘤榴瑬旒瑠𪕚𤠑䉧𥰣瀏䬟䱖鰡嵧𣠚鎦𦃓𢷶𨶪懰餾䖻裗𪆱𪎣硫遛䚧憀鏐|鎏		TRUE
989	下平18尤	清	CA2	三	3	開	1	尤	下18	平	1	流	7	七由	尤	chiu	ciou	qiu1	17	秋秌鞧緧𦃈鞦湫鶖鰍(鰌)楸萩𪓰(𪓵)䵸蟗䨂篍趥		TRUE
990	下平18尤	以	E5	三	3	開	1	尤	下18	平	1	流	7	以周	尤	ju	jou	you2	45	由!猷猶悠油攸蕕浟𠧷𢋅冘邎輶蘨秞蚰蝣櫾楢𦳷斿游遊𨒰卣䚻鮋䱔抌揄舀偤䍃𤪎邮繇㳛㾞囮㘥庮甹𣔴𧡹𦵵[鈾]		TRUE
991	下平18尤	疑	D4	三	3	開	1	尤	下18	平	1	流	7	語求	尤	ngiu	ngiou	you2	1	牛		TRUE
992	下平18尤	精	CA1	三	3	開	1	尤	下18	平	1	流	7	即由	尤	ciu	ziou	jiu1	11	遒鮂䎿蝤啾迺𩭓揂揫(揪)湫𣟼[鬏]		TRUE
993	下平18尤	從	CA3	三	3	開	1	尤	下18	平	1	流	7	自秋	尤	ziu	dziou	qiu2	11	酋㥢遒䎿崷鰌蝤煪𧤕𦵩	11->10	TRUE
994	下平18尤	心	CA4	三	3	開	1	尤	下18	平	1	流	7	息流	尤	siu	siou	xiu1	7	脩修羞𩛢𩝧䡭樇|饈		TRUE
995	下平18尤	徹	CB2	三	3	開	1	尤	下18	平	1	流	7	丑鳩	尤	thriu	thiou	chou1	8	抽𢭆㨨婤𥈌惆瘳妯		TRUE
996	下平18尤	溪	D2	三	3	開	1	尤	下18	平	1	流	7	去秋	尤	khiu	qiou	qiu1	3	恘(𠁫)㲃惆	惆原作⿰丩周	TRUE
997	下平18尤	昌	CD2	三	3	開	1	尤	下18	平	1	流	7	赤周	尤	chju	tcou	chou1	2	犫犨		TRUE
998	下平18尤	章	CD1	三	3	開	1	尤	下18	平	1	流	7	職流	尤	cju	tjou	zhou1	10	周州𥺝輖洲賙喌舟郮婤		TRUE
999	下平18尤	常	CD5	三	3	開	1	尤	下18	平	1	流	7	市流	尤	zju	zjou	chou2	10	讎𣫐𣀓鮋醻(酬)詶雔魗𨞪		TRUE
1000	下平18尤	日	CD6	三	3	開	1	尤	下18	平	1	流	7	耳由	尤	nju	rou	rou2	16	柔鍒㽥騥蝚蹂葇鞣鰇瑈腬鶔揉䰆𨛶䐓		TRUE
1001	下平18尤	書	CD4	三	3	開	1	尤	下18	平	1	流	7	式州	尤	sju	sjou	shou1	1	收		TRUE
1002	下平18尤	溪	D2	三	3	開	1	尤	下18	平	1	流	7	去鳩	尤	khiu	qiou	qiu1	6	丘丠蓲蚯邱訄		TRUE
1003	下平18尤	滂	A2	三	3	開	1	尤	下18	平	1	流	7	匹尤	尤	phiu	phiou	fou1	7	䬌秠𡫺衃肧紑醅		TRUE
1004	下平18尤	見	D1	三	3	開	1	尤	下18	平	1	流	7	居求	尤	kiu	kiou	jiu1	10	鳩𦫶𠠳朻䡂㽱𨷺(鬮)丩龜勼		TRUE
1005	下平18尤	幫	A1	三	3	開	1	尤	下18	平	1	流	7	甫鳩	尤	piu	piou	fou1	5	不哹紑䍍鴀		TRUE
1006	下平18尤	生	CC4	三	3	開	1	尤	下18	平	1	流	7	所鳩	尤	sriu	shou	shou1	17	搜)!𢯱捜𩜯(餿)䬒(颼)𣸈(溲)䤹(鎪)廋蒐𦺋獀䐹𨜛(鄋)䗏(螋)䮟(騪)犙䤇(醙)𧽏		TRUE
1007	下平18尤	初	CC2	三	3	開	1	尤	下18	平	1	流	7	楚鳩	尤	chriu	chou	chou1	7	搊𢬆篘醔㮲𥻤謅		TRUE
1008	下平18尤	莊	CC1	三	3	開	1	尤	下18	平	1	流	7	側鳩	尤	criu	trou	zhou1	14	鄒鄹郰騶齱陬緅䑼𨃘菆棷箃𠿈黀		TRUE
1009	下平18尤	崇	CC3	三	3	開	1	尤	下18	平	1	流	7	士尤	尤	zriu	drou	chou2	2	愁㵞		TRUE
1010	下平18尤	曉	E1	三	3	開	1	尤	下18	平	1	流	7	許尤	尤	hiu	xiou	xiu1	13	休貅鵂鵂𩢮㾋庥脙𦜵髤髹䰍咻㵻		TRUE
1011	下平18尤	邪	CA5	三	3	開	1	尤	下18	平	1	流	7	似尤	尤	zsiu	sziou	xiu2	6	囚泅汓苬鮂慒		TRUE
1012	下平18尤	澄	CB3	三	3	開	1	尤	下18	平	1	流	7	直由	尤	driu	diou	chou2	27	儔檮躊幬𢃖裯𠷎疇紬綢稠燽薵鯈籌𪆇𪇘棸椆怞𦡴懤鮋䬞菗𨞪𢤉		TRUE
1013	下平18尤	知	CB1	三	3	開	1	尤	下18	平	1	流	7	張流	尤	triu	tiou	zhou1	11	輈盩啁譸侜𩢸調咮𧻖𥎻矪		TRUE
1014	下平18尤	群	D3	三	3	開	1	尤	下18	平	1	流	7	巨鳩	尤	giu	giou	qiu2	44	求!𧚍裘仇叴厹𡨃頄蛷𧒔逑球璆艽鼽莍䣇賕殏梂朹㭝俅脙𦜵馗䊵絿䜪扏銶𩒮𥭑毬䟵犰𧻱訅釚捄肍𢛃𦬖訄		TRUE
1015	下平18尤	並	A3	三	3	開	1	尤	下18	平	1	流	7	縛謀	尤	biu	biou	fou2	24	浮哹桴枹𥰛罦䍖琈粰䳕罘䱐涪芣蜉烰鉜𡦄𢀼艀棓掊䍌䨗		TRUE
1016	下平18尤	明	A4	三	3	開	1	尤	下18	平	1	流	7	莫浮	尤	miu	miou	miu2	24	謀䱕雺眸牟侔矛𢦵鍪鞪麰𦭷堥劺𨡭蝥蟊鷚𩭾䋷恈鴾蛑繆	𩭾右下原从犮	TRUE
1017	下平19侯	匣	E2	一	1	開	1	侯	下19	平	1	流	7	戸鉤	尤	ghu	hou	hou2	24	侯矦𥎦帿鄇䫛鍭銗猴糇翭翵餱喉篌鯸㮢𧮶瘊䗔葔骺睺䙈		TRUE
1018	下平19侯	影	E3	一	1	開	1	侯	下19	平	1	流	7	烏侯	尤	qu	ou	ou1	16	謳嘔歐甌區漚鷗䁱瞘櫙蓲醧剾䙔鏂膒		TRUE
1019	下平19侯	泥	B4	一	1	開	1	侯	下19	平	1	流	7	奴鉤	尤	nu	nou	nou2	4	羺獳䰰䨲		TRUE
1020	下平19侯	來	B5	一	1	開	1	侯	下19	平	1	流	7	落侯	尤	lu	lou	lou2	29	樓婁䣚𨻻𧁾蔞𠞭䝏𦎹僂艛耬髏膢𤬏廔剅摟嘍瞜螻簍鞻慺鷜䱾褸遱謱		TRUE
1021	下平19侯	心	CA4	一	1	開	1	侯	下19	平	1	流	7	速侯	尤	su	sou	sou1	8	涑鏉䩳𩌱𩮶摗𠘂𡠼		TRUE
1022	下平19侯	溪	D2	一	1	開	1	侯	下19	平	1	流	7	恪侯	尤	khu	qou	kou1	8	彄摳剾韝𢂁滱夠䁱|芤瞘|		TRUE
1023	下平19侯	曉	E1	一	1	開	1	侯	下19	平	1	流	7	呼侯	尤	hu	xou	hou1	2	齁𪅺		TRUE
1024	下平19侯	精	CA1	一	1	開	1	侯	下19	平	1	流	7	子侯	尤	cu	zou	zou1	5	𣠏緅陬掫棷		TRUE
1025	下平19侯	透	B2	一	1	開	1	侯	下19	平	1	流	7	託侯	尤	thu	thou	tou1	4	偷鍮媮鋀		TRUE
1026	下平19侯	定	B3	一	1	開	1	侯	下19	平	1	流	7	度侯	尤	du	dou	tou2	15	頭㓱投𪎨骰𣪌坄牏䤅㢏揄窬緰歈𪁞[亠]		TRUE
1027	下平19侯	疑	D4	一	1	開	1	侯	下19	平	1	流	7	五婁	尤	ngu	ngou	ou2	1	齵		TRUE
1028	下平19侯	見	D1	一	1	開	1	侯	下19	平	1	流	7	古侯	尤	ku	kou	gou1	18	鉤𠛎溝褠韝緱篝𥴴𪓟㗕𤫱䑦冓枸句軥夠鴝|彀[鞲][勾]		TRUE
1029	下平19侯	端	B1	一	1	開	1	侯	下19	平	1	流	7	當侯	尤	tu	tou	dou1	10	兜)!兠侸吺篼𥆖剅𧢗𧯠郖𩮷		TRUE
1030	下平19侯	從	CA3	一	1	開	1	侯	下19	平	1	流	7	徂鉤	尤	zu	dzou	cou2	2	㔌鯫		TRUE
1031	下平19侯	並	A3	一	1	開	1	侯	下19	平	1	流	7	薄侯	尤	bu	bou	pou2	9	裒䯽捊抔掊䏽𩚭䍌箁		TRUE
1032	下平19侯	清	CA2	一	1	開	1	侯	下19	平	1	流	7	千侯	尤	chu	cou	cou1	1	䜅		TRUE
1033	下平19侯	明	A4	一	1	開	1	侯	下19	平	1	流	7	亡侯	尤	mu	mou	mou2	1	呣		TRUE
1034	下平20幽	影	E3	三	3	開	1	幽	下20	平	1	流	7	於虯	尤	qy	yu	you1	7	幽泑呦𣢜𧍘怮𢆶	刪攸	TRUE
1035	下平20幽	群	D3	三	3	開	1	幽	下20	平	1	流	7	渠幽	尤	gy	gyu	qiu2	7	虯觩璆觓鷚蟉𤙠		TRUE
1036	下平20幽	幫	A1	三	3	開	1	幽	下20	平	1	流	7	甫烋	尤	py	pyu	biao1	3	彪髟驫		TRUE
1037	下平20幽	來	B5	三	3	開	1	幽	下20	平	1	流	7	力幽	尤	ly	lyu	liu2	2	鏐蟉		TRUE
1038	下平20幽	見	D1	三	3	開	1	幽	下20	平	1	流	7	居虯	尤	ky	kyu	jiu1	5	樛𠃚𦭺朻㽱		TRUE
1039	下平20幽	並	A3	三	3	開	1	幽	下20	平	1	流	7	皮彪	尤	by	byu	piao2	3	淲瀌𩖛		TRUE
1040	下平20幽	精	CA1	三	3	開	1	幽	下20	平	1	流	7	子幽	尤	cy	zyu	jiu1	1	稵		TRUE
1041	下平20幽	生	CC4	三	3	開	1	幽	下20	平	1	流	7	山幽	尤	sry	shyu	shou1	1	犙		TRUE
1042	下平20幽	疑	D4	三	3	開	1	幽	下20	平	1	流	7	語虯	尤	ngy	ngyu	you2	1	聱		TRUE
1043	下平20幽	曉	E1	三	3	開	1	幽	下20	平	1	流	7	香幽	尤	hy	xyu	xiu1	2	飍烋		TRUE
1044	下平20幽	明	A4	三	3	開	1	幽	下20	平	1	流	7	武彪	尤	my	myu	miao2	3	繆鷚䋷		TRUE
1045	下平21侵	清	CA2	三	3	開	1	侵A	下21A	平	1	深	9	七林	侵	chim	cim	qin1	7	侵𢔀駸浸䜷𥍯綅		TRUE
1046	下平21侵	邪	CA5	三	3	開	1	侵A	下21A	平	1	深	9	徐林	侵	zsim	szim	xin2	16	尋𢒫鐔潯鱏樳鄩𨼔𦠅𩖣襑枔撏灊鬵𦅀		TRUE
1047	下平21侵	來	B5	三	3	開	1	侵A	下21A	平	1	深	9	力尋	侵	lim	lim	lin2	8	林琳淋臨痳箖瀶霖		TRUE
1048	下平21侵	徹	CB2	三	3	開	1	侵B	下21B	平	1	深	9	丑林	侵	thrim	thym	chen1	7	琛棽綝郴䑣𥉨賝		TRUE
1049	下平21侵	章	CD1	三	3	開	1	侵A	下21A	平	1	深	9	職深	侵	cjim	tjim	zhen1	9	斟針鍼𪈁箴葴瑊鱵㘰		TRUE
1050	下平21侵	澄	CB3	三	3	開	1	侵B	下21B	平	1	深	9	直深	侵	drim	dym	chen2	9	沈沉𤘣莐䒞霃湛枕鈂		TRUE
1051	下平21侵	知	CB1	三	3	開	1	侵B	下21B	平	1	深	9	知林	侵	trim	tym	zhen1	5	碪砧椹枮坫		TRUE
1052	下平21侵	常	CD5	三	3	開	1	侵A	下21A	平	1	深	9	氏任	侵	zjim	zjim	chen2	7	諶愖訦忱煁瘎㽸		TRUE
1053	下平21侵	日	CD6	三	3	開	1	侵A	下21A	平	1	深	9	如林	侵	njim	rim	ren2	7	任鵀恁壬紝銋䛘		TRUE
1054	下平21侵	書	CD4	三	3	開	1	侵A	下21A	平	1	深	9	式針	侵	sjim	sjim	shen1	2	深𦸂		TRUE
1055	下平21侵	以	E5	三	3	開	1	侵A	下21A	平	1	深	9	餘針	侵	jim	jim	yin2	15	淫霪婬𥮍蟫鷣䒞冘𢓕碪撢𨟏㸒鐔鱏		TRUE
1056	下平21侵	心	CA4	三	3	開	1	侵A	下21A	平	1	深	9	息林	侵	sim	sim	xin1	4	心𦁍𨊳杺		TRUE
1057	下平21侵	影	E3	三	3	開	1	侵A	下21A	平	1	深	9	挹淫	侵	qjim	im	yin1	2	愔韾		TRUE
1058	下平21侵	精	CA1	三	3	開	1	侵A	下21A	平	1	深	9	子心	侵	cim	zim	jin1	9	祲梫兓埐𩀿𪖼綅𥍯𩻛		TRUE
1059	下平21侵	從	CA3	三	3	開	1	侵A	下21A	平	1	深	9	昨淫	侵	zim	dzim	qin2	10	𩷒䰼鬵嶜梣埐𣜣鈂灊䤁|岑		TRUE
1060	下平21侵	娘	B4A	三	3	開	1	侵B	下21B	平	1	深	9	女心	侵	nrim	nym	nin2	3	䛘䋻(紝)鵀		TRUE
1061	下平21侵	群	D3	三	3	開	1	侵B	下21B	平	1	深	9	巨金	侵	gim	gym	qin2	22	琴㩒捦擒黔禽芩𨙽檎㕋鵭䔷澿凜庈雂㪁㱽黚䅾耹靲		TRUE
1062	下平21侵	溪	D2	三	3	開	1	侵B	下21B	平	1	深	9	去金	侵	khim	qym	qin1	5	欽菳衾嶔顉		TRUE
1063	下平21侵	疑	D4	三	3	開	1	侵B	下21B	平	1	深	9	魚金	侵	ngim	ngym	yin2	10	吟訡䪩唫崟荶碞𩂢乑𠪚		TRUE
1064	下平21侵	曉	E1	三	3	開	1	侵B	下21B	平	1	深	9	許金	侵	him	xym	xin1	4	歆廞[鑫]嬜㽎		TRUE
1065	下平21侵	見	D1	三	3	開	1	侵B	下21B	平	1	深	9	居吟	侵	kim	kym	jin1	9	金今黅衿襟䘳禁㦗𪑙		TRUE
1066	下平21侵	影	E3	三	3	開	1	侵B	下21B	平	1	深	9	於金	侵	qim	ym	yin1	8	音陰瘖霠喑隌䜾䤃		TRUE
1067	下平21侵	生	CC4	三	3	開	1	侵B	下21B	平	1	深	9	所今	侵	srim	shym	shen1	10	森參蔘曑薓槮襳𥥿穼棽		TRUE
1068	下平21侵	崇	CC3	三	3	開	1	侵B	下21B	平	1	深	9	鋤針	侵	zrim	drym	chen2	9	岑涔㞥梣𣠟𩅨𩻛䅾笒		TRUE
1069	下平21侵	莊	CC1	三	3	開	1	侵B	下21B	平	1	深	9	側吟	侵	crim	trym	zhen1	4	旡簪㻸撍		TRUE
1070	下平21侵	初	CC2	三	3	開	1	侵B	下21B	平	1	深	9	楚簪	侵	chrim	chym	chen1	6	嵾參梫𥤇駸槮		TRUE
1071	下平21侵	昌	CD2	三	3	開	1	侵A	下21A	平	1	深	9	充針	侵	chjim	tcim	chen1	1	𧡪		TRUE
1072	下平22覃	定	B3	一	1	開	1	覃	下22	平	1	咸	8	徒含	覃	dom	dom	tan2	20	覃𨝸潭曇藫橝蟫譚𧽼燂壜鐔眈㽎𦗡𩡝𧂗蕁䊤㽑		TRUE
1073	下平22覃	清	CA2	一	1	開	1	覃	下22	平	1	咸	8	倉含	覃	chom	com	can1	5	參驂䟃傪㜗		TRUE
1074	下平22覃	泥	B4	一	1	開	1	覃	下22	平	1	咸	8	那含	覃	nom	nom	nan2	7	南男柟楠抩䶲𤱣		TRUE
1075	下平22覃	影	E3	一	1	開	1	覃	下22	平	1	咸	8	烏含	覃	qom	om	an1	12	諳䳺(鵪)媕庵腤菴㞄馣嬜韽盦喑		TRUE
1076	下平22覃	匣	E2	一	1	開	1	覃	下22	平	1	咸	8	胡男	覃	ghom	hom	han2	20	含涵䈄筨梒䤴函顄蜬頷𣹢鋡𤭙𠥴䶃圅肣䨡𢎘𠗴|晗	22->20!	TRUE
1077	下平22覃	來	B5	一	1	開	1	覃	下22	平	1	咸	8	盧含	覃	lom	lom	lan2	6	婪惏燷嵐葻啉		TRUE
1078	下平22覃	從	CA3	一	1	開	1	覃	下22	平	1	咸	8	昨含	覃	zom	dzom	can2	4	蠶撏䣟𨅔		TRUE
1079	下平22覃	精	CA1	一	1	開	1	覃	下22	平	1	咸	8	作含	覃	com	zom	zan1	7	簪撍篸𥸢䐶䍼鐕	刪錯	TRUE
1080	下平22覃	透	B2	一	1	開	1	覃	下22	平	1	咸	8	他含	覃	thom	thom	tan1	3	探撢貪|欿㵅僋	7->3!	TRUE
1081	下平22覃	端	B1	一	1	開	1	覃	下22	平	1	咸	8	丁含	覃	tom	tom	dan1	9	耽湛眈酖妉甔媅𧡪𡖓		TRUE
1082	下平22覃	溪	D2	一	1	開	1	覃	下22	平	1	咸	8	口含	覃	khom	qom	kan1	10	堪!龕𢦟𩑟戡𤯌嵁𤬪撖㪁		TRUE
1083	下平22覃	曉	E1	一	1	開	1	覃	下22	平	1	咸	8	火含	覃	hom	xom	han1	8	㟏𩈣馠𣢺唅𡬖𡪶谽		TRUE
1084	下平22覃	心	CA4	一	1	開	1	覃	下22	平	1	咸	8	蘇含	覃	som	som	san1	3	毿蔘犙		TRUE
1085	下平22覃	見	D1	一	1	開	1	覃	下22	平	1	咸	8	古南	覃	kom	kom	gan1	5	弇淦䶃䌠蜬		TRUE
1086	下平22覃	疑	D4	一	1	開	1	覃	下22	平	1	咸	8	五含	覃	ngom	ngom	an2	3	䜙嵁𡪁		TRUE
1087	下平23談	定	B3	一	1	開	1	談	下23	平	1	咸	8	徒甘	覃	dam	dam	tan2	11	談郯惔錟淡痰澹倓餤𥰨㶣		TRUE
1088	下平23談	見	D1	一	1	開	1	談	下23	平	1	咸	8	古三	覃	kam	kam	gan1	7	甘柑䇞苷泔𤯎媣|疳|		TRUE
1089	下平23談	端	B1	一	1	開	1	談	下23	平	1	咸	8	都甘	覃	tam	tam	dan1	5	擔儋聸頕甔		TRUE
1090	下平23談	心	CA4	一	1	開	1	談	下23	平	1	咸	8	蘇甘	覃	sam	sam	san1	5	三參(叁)弎𢁘鬖		TRUE
1091	下平23談	來	B5	一	1	開	1	談	下23	平	1	咸	8	魯甘	覃	lam	lam	lan2	11	藍襤䰐㩜籃𩈵𪇖懢䆾儖蘫		TRUE
1092	下平23談	溪	D2	一	1	開	1	談	下23	平	1	咸	8	苦甘	覃	kham	qam	kan1	1	坩		TRUE
1093	下平23談	透	B2	一	1	開	1	談	下23	平	1	咸	8	他酣	覃	tham	tham	tan1	9	舑聃𨈭緂㘱(坍)䔜䆱㴂𦸁		TRUE
1094	下平23談	從	CA3	一	1	開	1	談	下23	平	1	咸	8	昨甘	覃	zam	dzam	can2	5	慙(慚)鏨䳻㨻		TRUE
1095	下平23談	匣	E2	一	1	開	1	談	下23	平	1	咸	8	胡甘	覃	gham	ham	han2	8	酣甝䗣魽𤯎煔炶邯		TRUE
1096	下平23談	明	A4	一	1	開	1	談	下23	平	1	咸	8	武酣	覃	mam	mam	man2	1	姏		TRUE
1097	下平23談	從	CA3	一	1	開	1	談	下23	平	1	咸	8	昨三	覃	zam	dzam	can2	1	𩈻		TRUE
1098	下平23談	曉	E1	一	1	開	1	談	下23	平	1	咸	8	呼談	覃	ham	xam	han1	5	蚶𧵊嬜歛憨		TRUE
1099	下平24鹽	以	E5	三	3	開	1	鹽A	下24A	平	1	咸	8	余廉	鹽	jem	jem	yan2	15	鹽𣡶塩閻(閆)壛阽檐簷櫩𣡞㶄𪂈䦲㿕𤅸		TRUE
1100	下平24鹽	來	B5	三	3	開	1	鹽A	下24A	平	1	咸	8	力鹽	鹽	liem	liem	lian2	20	廉鐮鎌𩄡㡘簾薕薟蘞匳(奩)籨𥖝獫蠊䆂𨎷𣀃帘鬑覝|臁襝		TRUE
1101	下平24鹽	幫	A1	三	3	開	1	鹽B	下24B	平	1	咸	8	府廉	鹽	piem	pyem	bian1	2	砭=𥑁		TRUE
1102	下平24鹽	心	CA4	三	3	開	1	鹽A	下24A	平	1	咸	8	息廉	鹽	siem	siem	xian1	13	銛暹枮綅𦃌韱襳纖憸孅䯹彡𢘁		TRUE
1103	下平24鹽	清	CA2	三	3	開	1	鹽A	下24A	平	1	咸	8	七廉	鹽	chiem	ciem	qian1	10	籤臉䑎鹼槧憸僉𠠃㡨譣|簽|		TRUE
1104	下平24鹽	章	CD1	三	3	開	1	鹽A	下24A	平	1	咸	8	職廉	鹽	cjem	tjem	zhan1	6	詹瞻占蟾噡厃		TRUE
1105	下平24鹽	常	CD5	三	3	開	1	鹽A	下24A	平	1	咸	8	視占	鹽	zjem	zjem	chan2	3	棎蟾撏		TRUE
1106	下平24鹽	書	CD4	三	3	開	1	鹽A	下24A	平	1	咸	8	失廉	鹽	sjem	sjem	shan1	3	苫痁𡝫		TRUE
1107	下平24鹽	昌	CD2	三	3	開	1	鹽A	下24A	平	1	咸	8	處占	鹽	chjem	tcem	chan1	11	䪜㚲幨襜裧𤎥㾆緂妗𢛈𢃔		TRUE
1108	下平24鹽	日	CD6	三	3	開	1	鹽A	下24A	平	1	咸	8	汝鹽	鹽	njem	rem	ran2	12	𩓾髯蚺呥柟𧦦蛅冉袡䶲㾆舑冄		TRUE
1109	下平24鹽	娘	B4A	三	3	開	1	鹽B	下24B	平	1	咸	8	女廉	鹽	nriem	nyem	nian2	3	黏粘䬯		TRUE
1110	下平24鹽	云	E4	三	3	開	1	鹽B	下24B	平	1	咸	8	于廉	鹽	iem	hyem	yan2	1	炎		TRUE
1111	下平24鹽	知	CB1	三	3	開	1	鹽B	下24B	平	1	咸	8	張廉	鹽	triem	tyem	zhan1	3	霑沾𪏉		TRUE
1112	下平24鹽	徹	CB2	三	3	開	1	鹽B	下24B	平	1	咸	8	丑廉	鹽	thriem	thyem	chan1	2	覘𡝫		TRUE
